img_index,person,bicycle,car,motorcycle,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,microwave,oven,toaster,sink,refrigerator
171,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1
172,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1
173,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
174,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
175,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1
176,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0
177,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1
178,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
179,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
180,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1
181,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
182,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
183,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
184,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
185,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0
186,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
187,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1
188,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1
189,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
190,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
191,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
192,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
193,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1
194,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
195,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
196,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
197,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1
